GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inventory-service,com.ecommerce.inventoryservice.controller,InventoryController,0,81,0,0,0,20,0,9,0,9
inventory-service,com.ecommerce.inventoryservice.service.impl,InventoryServiceImpl.ReservationPlan,0,9,0,0,0,1,0,1,0,1
inventory-service,com.ecommerce.inventoryservice.service.impl,InventoryServiceImpl,0,856,0,66,0,187,0,55,0,22
inventory-service,com.ecommerce.inventoryservice.dto,InventoryCreateRequest,0,38,0,0,0,16,0,11,0,11
inventory-service,com.ecommerce.inventoryservice.dto,OrderStockResponse,0,17,0,0,0,7,0,5,0,5
inventory-service,com.ecommerce.inventoryservice.dto,ApiResponse,0,78,0,2,0,26,0,15,0,14
inventory-service,com.ecommerce.inventoryservice.dto,InventoryUpdateRequest,0,31,0,0,0,13,0,9,0,9
inventory-service,com.ecommerce.inventoryservice.dto,RestockRequest,0,17,0,0,0,7,0,5,0,5
inventory-service,com.ecommerce.inventoryservice.dto,OrderStockItemResponse,0,80,0,0,0,34,0,23,0,23
inventory-service,com.ecommerce.inventoryservice.dto,ReservationResponse,0,52,0,0,0,22,0,15,0,15
inventory-service,com.ecommerce.inventoryservice.dto,InventoryResponse,0,73,0,0,0,31,0,21,0,21
inventory-service,com.ecommerce.inventoryservice.dto,InventorySummaryResponse,0,66,0,0,0,28,0,19,0,19
inventory-service,com.ecommerce.inventoryservice.entity,StockReservation,0,59,0,0,0,25,0,17,0,17
inventory-service,com.ecommerce.inventoryservice.entity,ReservationStatus,0,21,0,0,0,4,0,1,0,1
inventory-service,com.ecommerce.inventoryservice.entity,ProcessedKafkaEvent,0,31,0,0,0,13,0,9,0,9
inventory-service,com.ecommerce.inventoryservice.entity,InventoryItem,0,103,0,4,0,43,0,27,0,25
inventory-service,com.ecommerce.inventoryservice.exception,GlobalExceptionHandler,0,108,0,4,0,21,0,15,0,13
inventory-service,com.ecommerce.inventoryservice.exception,InventoryDomainException,0,4,0,0,0,2,0,1,0,1
inventory-service,com.ecommerce.inventoryservice.exception,InventoryNotFoundException,0,4,0,0,0,2,0,1,0,1
inventory-service,com.ecommerce.inventoryservice.exception,OrderStockNotFoundException,0,4,0,0,0,2,0,1,0,1
inventory-service,com.ecommerce.inventoryservice.config,KafkaConfig,0,175,0,4,0,25,0,9,0,7
inventory-service,com.ecommerce.inventoryservice.util,InventoryUtils,0,19,0,4,0,5,0,5,0,3
inventory-service,com.ecommerce.inventoryservice.publisher,KafkaEventPublisherImpl,0,50,0,2,0,16,0,5,0,4
inventory-service,com.ecommerce.inventoryservice.publisher,NoOpKafkaEventPublisher,0,4,0,0,0,2,0,2,0,2
inventory-service,com.ecommerce.inventoryservice,InventoryServiceApplication,0,8,0,0,0,3,0,2,0,2
inventory-service,com.ecommerce.inventoryservice.consumer,KafkaInventoryConsumer,0,33,0,0,0,10,0,3,0,3
inventory-service,com.ecommerce.inventoryservice.mapper,InventoryMapper,0,268,0,12,0,56,0,15,0,9
inventory-service,com.ecommerce.inventoryservice.event,PaymentProcessedEvent,0,36,0,0,0,14,0,9,0,9
inventory-service,com.ecommerce.inventoryservice.event,InventoryEvent,0,52,0,0,0,22,0,15,0,15
inventory-service,com.ecommerce.inventoryservice.event,PaymentItemEvent,0,17,0,0,0,7,0,5,0,5
inventory-service,com.ecommerce.inventoryservice.event,OrderCancelledEvent,0,24,0,0,0,10,0,7,0,7
